City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
227,Havre-Saint-Pierre,CA,2021-10-06 20:22:17,50.2334,-63.5986,57.79,77,1,20.71,clear sky,0,0
228,Geraldton,AU,2021-10-06 20:22:17,-28.7667,114.6,43.21,87,0,5.75,clear sky,0,0
229,Hithadhoo,MV,2021-10-06 20:20:15,-0.6,73.0833,83.68,74,27,12.12,scattered clouds,0,0
230,Bar Harbor,US,2021-10-06 20:22:17,44.3876,-68.2039,73.35,55,1,5.01,clear sky,0,0
231,Matara,LK,2021-10-06 20:22:18,5.9485,80.5353,78.15,90,46,8.48,scattered clouds,0,0
232,Monywa,MM,2021-10-06 20:22:20,22.1167,95.1333,82.02,75,6,0.58,clear sky,0,0
233,Podgornoye,RU,2021-10-06 20:22:20,51.735,39.1496,34.02,75,0,0.0,clear sky,0,0
234,Krasnovishersk,RU,2021-10-06 20:22:21,60.4078,57.082,35.02,95,81,2.13,broken clouds,0,0
235,Da Lat,VN,2021-10-06 20:22:22,11.9465,108.4419,60.85,99,100,3.06,overcast clouds,0,0
236,Bembereke,BJ,2021-10-06 20:22:22,10.2283,2.6634,77.7,71,88,4.99,overcast clouds,0,0
237,Vardo,NO,2021-10-06 20:22:23,70.3705,31.1107,43.0,93,40,2.3,scattered clouds,0,0
238,Burriana,ES,2021-10-06 20:22:24,39.889,-0.085,71.67,69,86,7.74,overcast clouds,0,0
