City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,General Roca,AR,61.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
354,Inhambane,MZ,71.2,broken clouds,-23.865,35.3833,Oceano
355,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
357,Cap Malheureux,MU,69.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
358,Bubaque,GW,83.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
362,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
363,Kirakira,SB,80.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
364,Pahrump,US,80.94,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
365,Kambove,CD,70.21,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
366,Trairi,BR,81.23,overcast clouds,-3.2778,-39.2689,janelas do mar
367,Lander,US,72.1,overcast clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
368,Kathu,TH,81.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
369,Owatonna,US,76.06,broken clouds,44.0839,-93.226,Executive Inn Owatonna
370,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
372,Taunggyi,MM,61.9,overcast clouds,20.7833,97.0333,True Treasure Hotel
373,Eydhafushi,MV,82.09,overcast clouds,5.1033,73.0708,Soneva Fushi
374,Jijiga,ET,67.71,scattered clouds,9.35,42.8,RAMAAS HOTEL
375,Tiradentes,BR,72.01,overcast clouds,-21.1103,-44.1781,Hotel Serra Vista
377,Goma,CD,63.25,light rain,-1.6792,29.2228,Hotel la Versailles Goma
378,Itaquyry,PY,84.42,heavy intensity rain,-24.9333,-55.2167,Posada Santa Celina
380,Sibolga,ID,75.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
381,Mount Pleasant,US,78.8,clear sky,32.7941,-79.8626,Best Western Patriots Point
382,Port Hawkesbury,CA,65.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
383,Bam,IR,79.86,few clouds,29.106,58.357,Bam Tourist Hotel
386,Menongue,AO,66.63,overcast clouds,-14.6585,17.691,Ritz Lauca
387,Ukiah,US,73.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
388,Dingle,PH,75.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
389,Dunedin,NZ,54.82,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
390,Cabinda,AO,76.77,overcast clouds,-5.55,12.2,Hotel Maiombe
391,Alim,PH,79.21,broken clouds,9.5649,122.4876,Calamai Tropica
393,Valencia,ES,67.6,broken clouds,39.3333,-0.8333,Masia El Pino
394,Singaraja,ID,74.97,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
397,Kyrylivka,UA,54.5,broken clouds,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
401,Souillac,MU,69.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
402,Santa Vitoria Do Palmar,BR,55.92,broken clouds,-33.5189,-53.3681,Hostel Comodoro
403,Santana Do Mundau,BR,78.78,overcast clouds,-9.1681,-36.2222,Agro-Construções E Pousada 3M
405,Pacific Grove,US,73.58,clear sky,36.6177,-121.9166,Lovers Point Inn
406,Gat,IL,72.81,clear sky,31.61,34.7642,OlusHome
407,Lithakia,GR,72.59,overcast clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
408,Poum,NC,73.44,clear sky,-20.2333,164.0167,Gîte kajeon
409,Sokoni,TZ,76.86,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
411,Sterling,US,72.23,mist,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
412,Hurghada,EG,78.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
413,Joppatowne,US,74.3,broken clouds,39.4579,-76.3552,Hampton Inn & Suites Edgewood/Aberdeen-South
414,Hornepayne,CA,69.76,clear sky,49.2138,-84.7705,Kay-Vee Lodge Ltd
420,Sioux Lookout,CA,73.78,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
422,Srisailam,IN,72.59,overcast clouds,16.0833,78.8667,Vasavi Satram
423,Albino,IT,55.45,few clouds,45.7638,9.7964,Harmony Suite Hotel
424,San Vicente,AR,69.87,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
425,Chaman,PK,63.7,clear sky,30.9236,66.4512,Niamat parda Center chaman
426,Tshikapa,CD,73.06,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
427,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
429,Estelle,US,85.05,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
